               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.6903,              5.2949,              5.3967,           0.0034325,             0.99106,            0.020908,           0.0064612,                   0,                   0,                   0,            0.070183,            0.003313,            0.003313
                   1,              3.7079,              5.2509,               5.286,           0.0033204,             0.99209,            0.030515,            0.010505,                   0,                   0,                   0,            0.040051,           0.0065147,           0.0065147
                   2,              3.7096,              5.1525,              5.1639,           0.0031904,             0.85469,           0.0098383,           0.0030759,                   0,                   0,                   0,           0.0097877,           0.0095845,           0.0095845
                   3,              3.6524,              5.0162,              4.9724,          0.00014408,           0.0090754,          7.3553e-05,          3.1906e-05,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   4,               3.565,              4.7266,              4.6742,           0.0042137,             0.15187,           0.0046914,           0.0010788,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   5,              3.2513,              4.3831,              4.2956,            0.087902,             0.17833,            0.095925,            0.029972,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                   6,              2.9049,               4.069,              3.9021,             0.34639,             0.10347,            0.085145,            0.037147,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   7,              2.6184,              3.8063,              3.5693,             0.16869,             0.34059,             0.17002,            0.078427,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   8,              2.4444,              3.5847,              3.3493,             0.24606,             0.46545,             0.26215,             0.10958,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                   9,              2.3251,              3.4013,              3.1691,              0.3202,             0.60995,             0.32434,              0.1499,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  10,               2.237,              3.2445,              3.0704,             0.30557,             0.57888,             0.36368,             0.15342,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  11,              2.1787,              3.0688,              2.9775,             0.35781,             0.76702,             0.46103,             0.18464,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  12,              2.1739,              2.9512,              2.9043,             0.33488,             0.74784,              0.4819,             0.23822,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  13,               2.129,               2.886,              2.8616,             0.38235,              0.7095,             0.49778,             0.23802,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
